id,label,name,attributes
Cyavanaprasa,Formulation,Cyavanaprasa,"{""dosage"": ""25 g daily in divided doses."", ""preparation_method"": """"}"
Dadhika ghrita,Formulation,Dadhika ghrita,"{""dosage"": ""12 g"", ""preparation_method"": """"}"
Dadima-Phala Twak Curna,Formulation,Dadima-Phala Twak Curna,"{""dosage"": ""3-6 gm"", ""preparation_method"": """"}"
Dadimadi ghrita,Formulation,Dadimadi ghrita,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Dadimadya Ghrta,Formulation,Dadimadya Ghrta,"{""dosage"": ""5-10 ml"", ""preparation_method"": """"}"
Dadimastaka churna,Formulation,Dadimastaka churna,"{""dosage"": ""5-10g"", ""preparation_method"": """"}"
Danta vartti,Formulation,Danta vartti,"{""dosage"": ""Varti"", ""preparation_method"": """"}"
Danti Kwatha,Formulation,Danti Kwatha,"{""dosage"": ""400 to 500 ml"", ""preparation_method"": """"}"
Danti haritaki,Formulation,Danti haritaki,"{""dosage"": ""1/2 to 1 Haritaki and 12 to 24 g of Leha"", ""preparation_method"": """"}"
Dantodbheda gadantaka rasa,Formulation,Dantodbheda gadantaka rasa,"{""dosage"": ""250 mg"", ""preparation_method"": """"}"
Dantyadyarista,Formulation,Dantyadyarista,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Daruharidra,Formulation,Daruharidra,"{""dosage"": ""5 gm"", ""preparation_method"": """"}"
Darunagaradi kwatha churna,Formulation,Darunagaradi kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Darvighana,Formulation,Darvighana,"{""dosage"": ""1 gm"", ""preparation_method"": """"}"
Darvyadi Kwatha,Formulation,Darvyadi Kwatha,"{""dosage"": ""30-40 ml"", ""preparation_method"": """"}"
Darvyadi kwatha churna,Formulation,Darvyadi kwatha churna,"{""dosage"": ""48g in divided doses"", ""preparation_method"": """"}"
Dasamula,Formulation,Dasamula,"{""dosage"": ""20 ml"", ""preparation_method"": """"}"
Dasamula Ghrta,Formulation,Dasamula Ghrta,"{""dosage"": ""12 g daily in divided doses."", ""preparation_method"": """"}"
Dasamula Haritaki,Formulation,Dasamula Haritaki,"{""dosage"": ""6 to 12 g twice a day."", ""preparation_method"": """"}"
Dasamula Kashaya,Formulation,Dasamula Kashaya,"{""dosage"": ""10-15 ml; 12-24 ml"", ""preparation_method"": """"}"
Dasamula Katutrayadi Kashaya,Formulation,Dasamula Katutrayadi Kashaya,"{""dosage"": ""60 ml"", ""preparation_method"": """"}"
Dasamula Ksheera,Formulation,Dasamula Ksheera,"{""dosage"": ""Q.S."", ""preparation_method"": """"}"
Dasamula Kwatha,Formulation,Dasamula Kwatha,"{""dosage"": ""60 ml; 12-24 ml; 30-40 ml; 10 ml; 20-40 ml"", ""preparation_method"": """"}"
Dasamula Rasayana,Formulation,Dasamula Rasayana,"{""dosage"": ""3-5 gm"", ""preparation_method"": """"}"
Dasamula Taila,Formulation,Dasamula Taila,"{""dosage"": ""15 ml; 8 drops in each nostril"", ""preparation_method"": """"}"
Dasamula katutraya kwatha churna,Formulation,Dasamula katutraya kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Dasamula kwatha churna,Formulation,Dasamula kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Dasamulapancakoladi kwatha churna,Formulation,Dasamulapancakoladi kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Dasamularista,Formulation,Dasamularista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Dasamulasatpalaka Ghrta,Formulation,Dasamulasatpalaka Ghrta,"{""dosage"": ""12 g daily in divided doses."", ""preparation_method"": """"}"
Dasanga lepa,Formulation,Dasanga lepa,"{""dosage"": ""Lepa"", ""preparation_method"": """"}"
Dashamula haritaki,Formulation,Dashamula haritaki,"{""dosage"": ""6 to 12 g"", ""preparation_method"": """"}"
Dashamula taila,Formulation,Dashamula taila,"{""dosage"": ""Taila"", ""preparation_method"": """"}"
Dashana samskara churna,Formulation,Dashana samskara churna,"{""dosage"": ""1 gm"", ""preparation_method"": """"}"
Devadaru,Formulation,Devadaru,"{""dosage"": ""1 gm each"", ""preparation_method"": """"}"
Devadaru Curna,Formulation,Devadaru Curna,"{""dosage"": ""3-5 gm"", ""preparation_method"": """"}"
Devadarvadi kwatha churna,Formulation,Devadarvadi kwatha churna,"{""dosage"": ""48g in divided doses"", ""preparation_method"": """"}"
Devadarvarista,Formulation,Devadarvarista,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Devadarvyadi Kwatha,Formulation,Devadarvyadi Kwatha,"{""dosage"": ""30-40 ml"", ""preparation_method"": """"}"
Dhanadanayanadi Kashaya,Formulation,Dhanadanayanadi Kashaya,"{""dosage"": ""12-24 ml"", ""preparation_method"": """"}"
Dhanvantara Kwatha,Formulation,Dhanvantara Kwatha,"{""dosage"": ""12-24 ml"", ""preparation_method"": """"}"
Dhanvantara Taila,Formulation,Dhanvantara Taila,"{""dosage"": ""Internally 6 to 12 ml daily in divided doses; as well as external application Q.S."", ""preparation_method"": """"}"
Dhanvantara Taila (101) Avarti,Formulation,Dhanvantara Taila (101) Avarti,"{""dosage"": ""10-15 drops"", ""preparation_method"": """"}"
Dhanvantara Taila 7-101 Avarthi,Formulation,Dhanvantara Taila 7-101 Avarthi,"{""dosage"": ""10-15 drops"", ""preparation_method"": """"}"
Dhanvantara ghrita,Formulation,Dhanvantara ghrita,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Dhanvantara gutika,Formulation,Dhanvantara gutika,"{""dosage"": ""1 g"", ""preparation_method"": """"}"
Dhanyaka Hima,Formulation,Dhanyaka Hima,"{""dosage"": ""10-20 ml"", ""preparation_method"": """"}"
